MusteriKodu,MusteriBolge,OrtalamaHarcamaTutari,KuverSayisi,MusteriTabelaAdi,MusteriCesidi,lat,lng,MapProfileScore,MapPopulationScore,Mapin Segment, url
710698,ATAŞEHİR,,,SLINCE OTEL ATAŞEHİR,"Banket, Event, Etkinlik Oteli","40,98232970","29,13350140",,,H1,https://maps.app.goo.gl/Wqv2PWxtJf2RdMNw5
712525,ÜSKÜDAR,,,A11 HOTEL BOSPHORUS,Butik Otel,"41,02883900","29,01724200",,,H1,https://maps.app.goo.gl/6PJCEj83Gte5y66a6
712526,ATAŞEHİR,,,CİTYLOFT 161,Lüks Butik Otel,"40,9756954","29,1484178",,,H2,https://maps.google.com/?cid=14338089358501830520
713991,ÜMRANİYE,,,MERCURE OTEL,"Banket, Event, Etkinlik Oteli","41,02840836","29,11632668",,,H2,https://maps.app.goo.gl/ANiXVeV8KwM1mA498
714945,ATAŞEHİR,,,CİTYLOFT,Butik Otel,"40,97569271","29,14867915",,,H2,https://maps.app.goo.gl/TJoGWN7wtKUrzKyw7
715519,ATAŞEHİR,,,Cityloft Rakel,"Diğer (Apart, Pansiyon)","40,9756954","29,1484178",,,H1,"https://www.google.com/maps/place/Cityloft+161+Hotels+l+Houses/@40.9756954,29.1484178,17z/data=!3m1!5s0x14cac5fad17ba8f1:0xb50840f9ce966f65!4m23!1m13!3m12!1s0x14cac5fad1fbf4f9:0xc6fb204e1b4f5f78!2sCityloft+161+Hotels+l+Houses!5m2!4m1!1i2!8m2!3d40.9756954!4d29.1484178!10e5!14m1!1BCgIYEw!16s%2Fg%2F11f345dc47!3m8!1s0x14cac5fad1fbf4f9:0xc6fb204e1b4f5f78!5m2!4m1!1i2!8m2!3d40.9756954!4d29.1484178!16s%2Fg%2F11f345dc47?entry=ttu"
717984,ATAŞEHİR,,,CITYLOFT RAKEL,Lüks Butik Otel,"40,97584231","29,14873682",,,H2,https://maps.app.goo.gl/FqDH7bQwRWtpxKqQ9
719498,ÜSKÜDAR,,,SUMAHAN VAKKO,Lüks Butik Otel,41,29,,,H1,https://maps.app.goo.gl/87KAJJiFsWG5HHc69
820299,KADIKÖY,0-499 TL,0-99,PUB STATION CAFE&BAR,Modern Pub & Bistro,"40,9894101","29,0269425",,,D4-C,https://maps.google.com/?cid=10423435192931380441
836050,KADIKÖY,500-999 TL,,SUADİYE OTEL ,Business,"40,9567474","29,0805308",,,H1,https://maps.google.com/?cid=15261522485580363736
837849,KADIKÖY,500-999 TL,400+,BIGCHEFS SUADİYE,Modern Pub & Bistro,"40,9562871","29,089683",,,D1-A,https://maps.google.com/?cid=17827274917210621252
848045,ÜSKÜDAR,500-999 TL,,BOSPHORUS OTEL ,"Banket, Event, Etkinlik Oteli","41,0453262","29,0460872",,,H1,https://maps.google.com/?cid=14878654774353352226
858971,KADIKÖY,500-999 TL,400+,MIDPOINT PALLADIUM,Modern Pub & Bistro,"40,9855701","29,1006379","82,296","82,9415",D2-B,https://maps.google.com/?cid=14124329975565830352
870995,KADIKÖY,500-999 TL,400+,HAPPY MOON`S ŞAŞKINBAKKAL,Modern Pub & Bistro,"40,96463821","29,07332479","80,7828","93,6529",D2-B,https://maps.app.goo.gl/HeF7fBog6cfozN786
874577,ATAŞEHİR,,,NUMNUM BRANDIUM ,Modern Pub & Bistro,"41,0211488","29,0399053",,,D0-B,https://maps.google.com/?cid=44258458002074039
876367,ATAŞEHİR,500-999 TL,,DEDEMAN BOSTANCI,"Banket, Event, Etkinlik Oteli","40,962326","29,1110334",,,H1,https://maps.google.com/?cid=13299471545062580468
886674,ATAŞEHİR,500-999 TL,,RADISSON BLU OTEL ATAŞEHİR ,"Banket, Event, Etkinlik Oteli","40,9910437","29,1159213",,,H1,https://maps.google.com/?cid=12867029030734799152
902077,ATAŞEHİR,500-999 TL,400+,THE HUNGER BULVAR 2,Modern Pub & Bistro,"40,99415281","29,11031373","80,0876","83,973",D2-B,https://maps.app.goo.gl/HWpi9n8xieHJJtmN8
904612,KADIKÖY,500-999 TL,,WYNDHAM GRAND İSTAN,"Banket, Event, Etkinlik Oteli","40,9773632","29,0416963",,,H1,https://maps.google.com/?cid=11695834787451254814
905917,KADIKÖY,1.000 -1.999 TL,400+,ANATOLİA,Askeri Birlik-Sosyal Tesis,"40,9538503","29,0937585",,,R2-C,https://maps.google.com/?cid=7311675570874525576
909348,KADIKÖY,500-999 TL,,HOLİDAY IN ISTANBUL,Business,"40,9926386","29,0432188",,,H2,https://maps.google.com/?cid=10135323794130972416
909841,ATAŞEHİR,2.000+ TL,,SHERATON HOTEL ATAŞ,"Banket, Event, Etkinlik Oteli","40,9935082","29,1020667",,,H1,https://maps.google.com/?cid=4929107779928431731
926262,ÜMRANİYE,500-999 TL,,CROWNE PLAZA İSTANB,"Banket, Event, Etkinlik Oteli","41,030065","29,109058",,,H1,https://maps.google.com/?cid=8476122718772084323
933437,ATAŞEHİR,500-999 TL,200-399,THE HUNGER WATERGAR,Modern Pub & Bistro,"40,9984082","29,0999834","81,6814","84,1073",D2-B,https://maps.google.com/?cid=3092637905416827970
936282,KADIKÖY,,,ARABECKS CAFE,Modern Pub & Bistro,"40,99050910","29,03068370",,,D0-B,https://maps.app.goo.gl/kThQSnXAAMCBJjEC9
941953,ATAŞEHİR,500-999 TL,,CİTY LOFT OTEL,Lüks Butik Otel,"40,97955600","29,10822500",,,H2,https://maps.app.goo.gl/B65gZMiuX78yCVdZ7
946304,KADIKÖY,500-999 TL,,ESKİ USUL MEYHANE,Butik Otel,"40,9828175","29,0329325",,,H2,https://maps.google.com/?cid=4674593414486257424
946546,ATAŞEHİR,0-499 TL,200-399,DRAFT ATAŞEHİR,Modern Pub & Bistro,"40,9990395","29,1009386",,,D2-B,https://maps.google.com/?cid=11049605029750752310
956367,ÜSKÜDAR,500-999 TL,400+,HAYAL KAHVESİ EMAAR,Gece Kulübü,"41,0044015","29,0713783",,,D1-A,https://maps.google.com/?cid=4739081384273704031
958635,KADIKÖY,,,MACCA BALIK,Balık,"40,98219520","29,03724670",,,R0-B,https://maps.app.goo.gl/e6uuin95ufUdmWNy7
959775,KADIKÖY,,,LİPSOS BALIK,Balık,"40,9902554","29,0253911",,,R0-B,https://maps.google.com/?cid=16024720761484245758
1000026925,KADIKÖY,0-499 TL,100-199,ALA BALIK MEZE,Balık,"40,9902554","29,0253911","77,0151","80,0753",R2-B,https://maps.google.com/?cid=16024720761484245758
962124,KADIKÖY,500-999 TL,100-199,HANGAR,Modern Pub & Bistro,"40,95319218","29,09520630",,,D3-B,https://maps.app.goo.gl/WLustUtPttb3gyEYA
962311,KADIKÖY,2.000+ TL,,HİLTON KOZYATAĞI,"Banket, Event, Etkinlik Oteli","40,98679200","29,08578705",0,0,H2,https://maps.app.goo.gl/887doQRTViceC1iw9
964426,ÜMRANİYE,500-999 TL,,HİLTON GARDEN IN ÜMRANİYE ,Business,"41,0251528","29,1054404",,,H2,https://maps.google.com/?cid=7579993593818901433
970155,KADIKÖY,0-499 TL,,39 KALAMIŞ MARINA HOTEL,Butik Otel,"40,9758699","29,0412118",,,H2,https://maps.google.com/?cid=8726589132710556538
970253,ATAŞEHİR,0-499 TL,400+,DASDAS,Modern Pub & Bistro,"40,9940011","29,125195",,,D2-A,https://maps.google.com/?cid=16301613673109679518
1000013196,ATAŞEHİR,500-999 TL,400+,THE HUNGER,Modern Pub & Bistro,"40,9937287","29,1228661","82,2756","84,3249",D2-B,https://maps.google.com/?cid=13266574312045076364
1000013606,KADIKÖY,,,FÜREYYA MEYHANE ,Geleneksel Meyhane,"40,989237","29,0282127",,,R3-C,https://maps.google.com/?cid=15581571482419950129
705171,KADIKÖY,,200-399,FÜREYYA MEYHANESİ,Geleneksel Meyhane,"40,989237","29,0282127","67,9419","79,1103",R2-C,https://maps.google.com/?cid=15581571482419950129
1000014558,ÜMRANİYE,500-999 TL,,PERSPEKTİF OTEL.VE TURZ A.Ş.,Business,"40,99711471","29,14367814",,,H2,https://maps.app.goo.gl/CzsS1fb42B1468PK8
1000019670,ATAŞEHİR,500-999 TL,100-199,FERİDE MEYHANESİ,Yeni Nesil Meyhane,"40,9850519","29,1078256",,,R2-A,https://maps.google.com/?cid=8014079824089480963
1000021340,ÜMRANİYE,500-999 TL,400+,HAPPY MOONS BUYAKA,Modern Pub & Bistro,"41,0263634","29,1286955",,,D2-A,https://maps.google.com/?cid=16899202846629013476
700569,ÜMRANİYE,500-999 TL,400+,Habby moons bobs cafe,Modern Pub & Bistro,"41,0263634","29,1286955","80,7807","92,524",D1-B,https://maps.google.com/?cid=16899202846629013476
1000021523,KADIKÖY,500-999 TL,400+,HAPPY MOONS CADDEBOSTAN,Modern Pub & Bistro,"40,96688026","29,06773643","80,7829","80,0756",D2-B,https://maps.app.goo.gl/rj1opvFXxVVnoUER7
1000021810,ÜSKÜDAR,2.000+ TL,,ADDREESS HOTEL EMAAR,"Banket, Event, Etkinlik Oteli","41,0043172","29,0710656",,,H1,https://maps.google.com/?cid=2705910201781322366
1000027147,ATAŞEHİR,500-999 TL,100-199,MİLANO,Yeni Nesil Meyhane,"40,97856028","29,13410794",,,R3-C,https://maps.app.goo.gl/NZZ9BbtE8ZZdyXtB6
1000028667,KADIKÖY,500-999 TL,,GHAN OTEL,Butik Otel,"40,9921641","29,041865",,,H2,https://maps.google.com/?cid=2814936121018614829
960057,KADIKÖY,,,TOWN HOUSE,Premium Bistro Cafe,"40,95795004","29,08185923","99,8","69,712",D2-B,https://maps.app.goo.gl/pc5C5QdjHa12Kgb27
433236,KADIKÖY,,,BÜYÜK KULÜP,Askeri Birlik-Sosyal Tesis,"40,96976920","29,05331426","99,11","99,17",R1-A,https://maps.app.goo.gl/KggFF62v91BG7Fis6
700147,KADIKÖY,,,Peat&Sherry,Diğer Bistro Cafe,"40,96484978","29,07149691","98,81","68,82",D3-A,https://maps.app.goo.gl/tuaxgkADwgR4Szdv7
951054,KADIKÖY,1.000 -1.999 TL,400+,HAYATİ OCAKBAŞI,Kebap,"40,9734073","29,0984399","94,4049","94,9093",R1-A,https://maps.google.com/?cid=2443832560872943768
432520,ÜSKÜDAR,2.000+ TL,200-399,DEL MARE,Balık,"41,054384","29,052033","94,0165","92,2595",R1-A,https://maps.google.com/?cid=16808118739749621480
433059,ÜSKÜDAR,2.000+ TL,400+,BEYLERBEYİ VİLLA BO,Balık,"41,0444681","29,0438796","94,0141","94,2618",R1-A,https://maps.google.com/?cid=13889464889204409693
433665,KADIKÖY,1.000 -1.999 TL,100-199,DEVELİ BALIK,Balık,"40,9762786","29,0406828","93,9414","91,2954",R1-A,"https://www.google.com/maps/place/Develi+Marin/@40.9762826,29.0381025,17z/data=!3m1!4b1!4m6!3m5!1s0x14cab99566e67e19:0x8c54fbb64ecd29f5!8m2!3d40.9762786!4d29.0406828!16s%2Fg%2F11kjym3yt4?entry=ttu"
969124,ÜSKÜDAR,500-999 TL,400+,VAKKO BİSTRO EMAAR,Modern Pub & Bistro,"41,0036086","29,0708377","93,8859","93,2239",D1-A,https://maps.google.com/?cid=1778026035479570957
433410,KADIKÖY,1.000 -1.999 TL,400+,DEVELİ KALAMIŞ,Kebap,"40,9764706","29,0396014","93,7921","95,7646",R1-A,https://maps.google.com/?cid=13883583235618853851
1000029315,KADIKÖY,1.000 -1.999 TL,100-199,ALEF OCAKBAŞI ,Kebap,"40,9750052","29,0468359","93,75","92,6495",R1-A,https://maps.google.com/?cid=15745829310418709233
436770,KADIKÖY,500-999 TL,400+,SAHAN RESTAURANT,Kebap,"40,9864332","29,1037979","93,7427","95,698",R1-A,"https://www.google.com/maps/place/Sahan/@40.9867169,28.8229591,11z/data=!4m6!3m5!1s0x14cac6300b322345:0x9c1d392907ba3252!8m2!3d40.9864332!4d29.1037979!16s%2Fg%2F1tlr2838?entry=ttu"
893667,ATAŞEHİR,500-999 TL,400+,DİVAN PUB ATAŞEHİR,Modern Pub & Bistro,"41,0680246","29,0058102","93,7369","90,5282",D1-A,https://maps.google.com/?cid=12977264051714050365
928352,ATAŞEHİR,500-999 TL,400+,KÖŞEBAŞI ATAŞEHİR,Kebap,"40,9955166","29,1071783","93,7244","92,8608",R1-A,https://maps.google.com/?cid=17958546829781962735
1000027500,KADIKÖY,1.000 -1.999 TL,400+,ALİ OCAKBAŞI,Kebap,"40,9595084","29,07301","93,715","93,2777",R1-A,https://maps.google.com/?cid=6325516986227597800
701397,KADIKÖY,500-999 TL,100-199,ARTOIS,Kokteyl Bar,"40,9672799","29,0652276","93,7073","65,4669",D3-A,https://maps.google.com/?cid=13626899829846803015
871302,KADIKÖY,500-999 TL,400+,DİVAN KALAMIŞ BRASS,Modern Pub & Bistro,"40,9763135","29,040666","93,6974","95,1387",D1-A,https://maps.google.com/?cid=15503981688172348416
962463,ÜSKÜDAR,1.000 -1.999 TL,200-399,NAKKAŞ KEBAP,Kebap,"41,0323431","29,0402431","93,5778","93,5762",R1-A,https://maps.google.com/?cid=5595922305745744239
705144,KADIKÖY,,100-199,EMPORIO,Fine Dining (D.Mutf-Şar.Evi),"40,967289","29,065869","93,5373","77,4184",D2-A,https://maps.google.com/?cid=14202316114780320262
1000026620,KADIKÖY,500-999 TL,0-99,NAZENDE RESTAURANT,Kebap,"40,9672467","29,0634616","93,5372","79,5522",R2-A,https://maps.google.com/?cid=4237474954154729164
864891,KADIKÖY,500-999 TL,400+,DİVAN ERENKÖY,Modern Pub & Bistro,"40,96496700","29,07258100","93,5303","93,2491",D1-A,https://maps.app.goo.gl/YrAwyrXUsP9dLWmw9
946542,KADIKÖY,1.000 -1.999 TL,200-399,ROTİSSERİA NOİR,Modern Pub & Bistro,"40,9593499","29,0844223","93,512","92,6296",D1-A,https://maps.google.com/?cid=3693756085856742317
1000023095,KADIKÖY,1.000 -1.999 TL,200-399,STRADA CADDE,Fine Dining (D.Mutf-Şar.Evi),"40,9585258","29,0849589","93,494","93,4757",D1-A,https://maps.google.com/?cid=11549420770337812263
951535,KADIKÖY,1.000 -1.999 TL,400+,TAVACI RECEP USTA,Kebap,"40,9523258","29,0969059","93,4773","95,6862",R1-A,https://maps.google.com/?cid=6156042668802210899
706571,KADIKÖY,1.000 -1.999 TL,100-199,ÇİLİNGİR SOFRASI,Kebap,"40,9675888","29,066129","93,4401","80,3891",R2-A,https://maps.google.com/?cid=16413726321388502848
644432,KADIKÖY,1.000 -1.999 TL,400+,MODA DENİZ KLUBÜ,Askeri Birlik-Sosyal Tesis,"40,9791697","29,0233848","93,3808","94,8527",R1-A,https://maps.google.com/?cid=8877303068712878687
704691,KADIKÖY,,0-99,DOKUZ ONDOKUZ,Modern Pub & Bistro,"40,9634236","29,0770693","93,3595","77,8279",D2-A,https://maps.google.com/?cid=14825512227278745812
959380,ATAŞEHİR,1.000 -1.999 TL,100-199,FOÇA BALIK ATAŞEHİR,Balık,"40,9874166","29,1188738","93,2979","91,0877",R1-A,https://maps.google.com/?cid=9828640019774010687
871168,ÜMRANİYE,500-999 TL,400+,KALBUR ET,Kebap,"40,9999627","29,1432002","93,2779","95,5759",R1-A,https://maps.google.com/?cid=9302353274943280301
932445,KADIKÖY,1.000 -1.999 TL,200-399,MEZZE HOUSE,Balık,"40,9718","29,0475","93,2136","93,3023",R1-A,https://maps.google.com/?cid=16177264081559368905
705265,KADIKÖY,,100-199,FERİDA,Fine Dining (D.Mutf-Şar.Evi),"40,9640945","29,0756064","93,2133","79,0202",D2-A,https://maps.google.com/?cid=4011278455026544487
953133,KADIKÖY,1.000 -1.999 TL,100-199,HANE KADIKÖY,Yeni Nesil Meyhane,"40,9896761","29,0283228","93,1367","92,8441",R1-A,https://maps.google.com/?cid=1695469892961271047
938620,KADIKÖY,1.000 -1.999 TL,100-199,Saca ocakbaşı,Kebap,"40,97392","29,046129","93,0811","92,4725",R1-A,https://maps.google.com/?cid=10578313936477365901
559648,KADIKÖY,1.000 -1.999 TL,200-399,VİCTOR LEVİ,Fine Dining (D.Mutf-Şar.Evi),"40,9873587","29,0260049","93,0213","78,9117",D2-A,https://maps.google.com/?cid=12616815679094124429
1000019787,KADIKÖY,1.000 -1.999 TL,100-199,ALLEN,Kokteyl Bar,"40,9574838","29,0872196","93,0135","90,07",D1-A,https://maps.google.com/?cid=6985319044120564143
703580,KADIKÖY,,400+,SEKİZDEYİZ KEBAP,Kebap,"40,9553719","29,0891683","93,0127","82,0693",R2-A,https://maps.google.com/?cid=1094658618949866131
964428,KADIKÖY,1.000 -1.999 TL,100-199,WESTPORT PUB,Modern Pub & Bistro,"40,977344","29,04171","93,0068","90,9972",D1-A,https://maps.google.com/?cid=14936152159401687583
704239,KADIKÖY,,100-199,NOİR,Fine Dining (D.Mutf-Şar.Evi),"40,9572091","29,0875839","92,9739","90,7286",D1-A,"https://www.google.com/maps/place/Noir+Suadiye/@40.957344,29.0774319,15z/data=!4m7!3m6!1s0x14cac7c35fc91dc9:0xd74b2df51aebb152!8m2!3d40.9572091!4d29.0875839!15sCgZub2nMh3JaCCIGbm9pzIdykgEKcmVzdGF1cmFudOABAA!16s%2Fg%2F11q3_d1k5t?entry=tts"
1000026005,KADIKÖY,1.000 -1.999 TL,100-199,SALTATOR BALIK,Balık,"40,9568951","29,0801473","92,972","79,9942",R2-A,https://maps.google.com/?cid=3301246274975226552
702268,KADIKÖY,1.000 -1.999 TL,100-199,AFRA SUADİYE,Yeni Nesil Meyhane,"40,9594462","29,072956","92,9463","89,7916",R1-A,https://maps.google.com/?cid=5547332225847158677
939648,KADIKÖY,500-999 TL,0-99,NENİ BRASSERİE,Modern Pub & Bistro,"40,9671797","29,0654234","92,914","67,4681",D3-A,https://maps.google.com/?cid=8888208367653715007
460310,ATAŞEHİR,1.000 -1.999 TL,400+,DEVELİ ATASEHİR,Kebap,"40,985489","29,107654","92,9071","94,8392",R1-A,https://maps.google.com/?cid=14672612875786846704
956898,ÜSKÜDAR,500-999 TL,400+,DİVAN AKASYA BRASSE,Modern Pub & Bistro,"41,0007027","29,0548519","92,886","90,6641",D1-A,https://maps.google.com/?cid=8992412625483748495
955888,KADIKÖY,1.000 -1.999 TL,200-399,ZİYADE FASIL,Yeni Nesil Meyhane,"40,9871309","29,0854914","92,8716","91,1801",R1-A,https://maps.google.com/?cid=9977241665547202178
1000027790,ATAŞEHİR,500-999 TL,100-199,LOLİVETTO,Fine Dining (D.Mutf-Şar.Evi),"40,9923266","29,1158863","92,8277","79,9148",D2-A,https://maps.google.com/?cid=17899260914323215109
965188,KADIKÖY,500-999 TL,100-199,AIDA RESTORAN,Fine Dining (D.Mutf-Şar.Evi),"40,9854827","29,0255633","92,8203","65,0033",D3-A,https://maps.google.com/?cid=17489339498433391004
709479,KADIKÖY,1.000 -1.999 TL,100-199,PAYYAR OCAKBAŞI,Kebap,"40,9710375","29,0391927","92,7666","77,0298",R2-A,https://maps.google.com/?cid=202777465893382769
1000018290,ÜSKÜDAR,500-999 TL,400+,VAKKO BİSTRO ,Fine Dining (D.Mutf-Şar.Evi),"41,1046902","28,9860565","92,734","92,75",D1-A,"https://www.google.com/maps/place/Vakko+L'Atelier+Vadi+%C4%B0stanbul/@41.1046902,28.9160187,13z/data=!4m6!3m5!1s0x14cab59aca8e85d7:0xc484b6713186b613!8m2!3d41.1046902!4d28.9860565!16s%2Fg%2F11ft44zy7r?entry=ttu"
966777,ÜSKÜDAR,1.000 -1.999 TL,0-99,RİGEL RESTAURANT,Balık,"41,0563988","29,052623","92,7019","88,9358",R1-A,https://maps.google.com/?cid=7209847129649040248
968892,KADIKÖY,1.000 -1.999 TL,0-99,5 MASA KALAMIŞ,Yeni Nesil Meyhane,"40,974362","29,042106","92,6728","77,8111",R2-A,https://maps.google.com/?cid=16116921990919414787
1000023002,KADIKÖY,1.000 -1.999 TL,100-199,COTTO GASTRO,Modern Pub & Bistro,"40,9607696","29,0746858","92,6282","91,1367",D1-A,https://maps.google.com/?cid=3256804321142731876
1000012849,KADIKÖY,1.000 -1.999 TL,100-199,REBORN SUADİYE,Modern Pub & Bistro,"40,9615885","29,0844139","92,627","80,1766",D2-A,https://maps.google.com/?cid=11829004506365142429
959049,KADIKÖY,0-499 TL,100-199,SOLE MİO,Kokteyl Bar,"40,9744192","29,0471358","92,6052","66,0198",D3-A,https://maps.google.com/?cid=2211710611874676828
1000020288,KADIKÖY,0-499 TL,100-199,NO 203,Kokteyl Bar,"40,9739556","29,055654","92,5251","79,8198",D2-A,https://maps.google.com/?cid=15578105309983056153
1000028462,ATAŞEHİR,0-499 TL,100-199,SAPA İSTANBUL,Modern Pub & Bistro,"40,9812812","29,1073989","92,4787","64,8626",D3-A,https://maps.google.com/?cid=8702348741071402285
969090,KADIKÖY,500-999 TL,0-99,MÜSAADE MEYHANE,Geleneksel Meyhane,"40,982905","29,0328513","92,4393","80,0788",R2-A,https://maps.google.com/?cid=11438300691143908749
968864,KADIKÖY,2.000+ TL,400+,MODA KAYIKHANE ,Tekne-Event Hall-Catering,"40,979471","29,024052","92,4008","93,9198",D1-A,https://maps.google.com/?cid=2875322124077321502
1000011251,ATAŞEHİR,0-499 TL,400+,MOJO LOUNGE,Kokteyl Bar,"40,9871164","29,1113246","92,321","94,4447",D1-A,https://maps.google.com/?cid=3131117971756402963
830371,KADIKÖY,1.000 -1.999 TL,400+,KÖŞEBAŞI,Kebap,"40,971751","29,060118","92,2992","94,9336",R1-A,https://maps.google.com/?cid=14007135487919372822
863828,KADIKÖY,1.000 -1.999 TL,400+,KOÇO,Balık,"40,9801066","29,0245649","92,2721","94,1427",R1-A,https://maps.google.com/?cid=9297852286366341798
957594,ATAŞEHİR,1.000 -1.999 TL,100-199,CİBALİKAPI MEYHANE,Balık,"41,00067","29,1021579","92,2413","92,3913",R1-A,https://maps.google.com/?cid=3019311797986596716
857658,KADIKÖY,1.000 -1.999 TL,100-199,MİRROR,Modern Pub & Bistro,"40,9568008","29,0803663","92,1662","79,5816",D2-A,https://maps.google.com/?cid=3656912956249343455
962446,ATAŞEHİR,500-999 TL,200-399,BAHÇE ET,Kebap,"40,991095","29,1323452","92,1332","92,236",R1-A,https://maps.google.com/?cid=2854550365184043443
831991,KADIKÖY,1.000 -1.999 TL,200-399,PİRAYE TAŞ PLAK MEYHANESİ,Geleneksel Meyhane,"40,9896828","29,0283837","92,1323","92,934",R1-A,https://maps.google.com/?cid=12964764586903879422
702282,KADIKÖY,500-999 TL,0-99,ATLAS MÜHÜRDAR,Fine Dining (D.Mutf-Şar.Evi),"40,988487","29,023012","92,0505","65,0701",D3-A,https://maps.google.com/?cid=17445431552341067770
434242,KADIKÖY,1.000 -1.999 TL,100-199,BİSTRO 33 ,Modern Pub & Bistro,"40,9642505","29,0702204","92,0188","91,9671",D1-A,https://maps.google.com/?cid=8605052167430201999
1000014017,KADIKÖY,500-999 TL,100-199,VOGLIA,Modern Pub & Bistro,"40,9641596","29,0754771","91,9992","52,0993",D4-A,https://maps.google.com/?cid=6636686284407947829
896128,KADIKÖY,1.000 -1.999 TL,0-99,WAYANA,Fine Dining (D.Mutf-Şar.Evi),"40,98129300","29,02255000","91,9051","53,2256",D4-A,https://maps.app.goo.gl/jkGWqZJAF6Kjfbd89
704981,KADIKÖY,,100-199,MATBAZEL ELENİ,Modern Pub & Bistro,"40,958363","29,086557","91,897","76,4192",D2-A,https://maps.google.com/?cid=6524549514859775354
940149,KADIKÖY,1.000 -1.999 TL,100-199,FOLKS ,Kokteyl Bar,"40,9634949","29,0765373","91,8968","91,5515",D1-A,https://maps.google.com/?cid=4427430222609507360
1000018359,KADIKÖY,0-499 TL,0-99,BASTA NEO BISTRO,Modern Pub & Bistro,"40,971422","29,0524539","91,835","64,7843",D3-A,https://maps.google.com/?cid=12959410438798882374
1000022311,KADIKÖY,500-999 TL,0-99,IL SUD,Fine Dining (D.Mutf-Şar.Evi),"40,9877396","29,0247453","91,8087","56,9618",D4-A,https://maps.google.com/?cid=11772703871632448867
1000021784,KADIKÖY,1.000 -1.999 TL,100-199,PORCH,Modern Pub & Bistro,"40,9569106","29,0881585","91,7952","89,3314",D1-A,https://maps.google.com/?cid=11177753810321557505
905763,KADIKÖY,1.000 -1.999 TL,100-199,HATAY RESTAURANT,Geleneksel Meyhane,"40,9538889","29,0936111","91,7882","66,8514",R3-A,https://maps.google.com/?cid=12290092090206792019
951950,KADIKÖY,1.000 -1.999 TL,100-199,KALAMARIA,Balık,"40,973718","29,045956","91,7186","89,9439",R1-A,https://maps.google.com/?cid=5355453391261383863
