device_aid,rich_score,zenginlik_segmenti,kahve_persona,bar_persona,keşif_persona,hayvan_persona,yaşam_tarzı_persona,total_visits,unique_places,coffee_visit_count,bar_pub,vet_visit_count,wealth_score
0021dead-b0b9-4858-b713-d861402539f2,100.0,Lüks Segment,Kahve İçmez,Bar Düşkünü,Rutin Sever,Pet Sahibi,Dengeli Yaşam,19,2,0.0,19,4.0,100.0
002316f7-3f6a-4ec3-b7da-d266c58072a9,26.44,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Tutkunu,Erken Kalkan Çalışkan,2,2,1.0,0,19.0,46.34
00245f99-be8e-4497-80f4-b3c22f10c235,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Tutkunu,Dengeli Yaşam,6,2,0.0,4,41.0,100.0
0026664f-e3f0-6699-a3ec-0640b3b724dc,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,8,2,1.0,8,4.0,100.0
00280bf5-4b02-4ec2-8736-bc4e85003a78,64.22,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sever,Dengeli Yaşam,2,2,4.0,1,10.0,38.2
0028dd99-b264-4a1b-8251-d4c792c29f12,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Pet Sahibi,Dengeli Yaşam,3,3,0.0,3,2.0,57.73
002cbc0f-9f01-45e1-9fc1-76853f81f6bf,100.0,Lüks Segment,Kahve İçmez,Bar Düşkünü,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,15,2,0.0,15,0.0,100.0
00315a23-24dd-4d5c-985e-043b96d4764a,9.2,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,0,0.0,16.5
0039d174-7047-4c6c-82b8-f419ac5e1e33,14.45,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sever,Erken Kalkan Çalışkan,1,1,0.0,1,7.0,15.0
003c488e-4f69-46ec-8352-b1e065d7fc0b,33.15,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,2,2,0.0,2,2.0,47.57
003c5264-f298-4274-958e-99f153c36271,5.05,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,0,1.0,7.0
003e2efd-6900-52f4-2c96-9915d302b560,19.75,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,1,1,0.0,0,2.0,22.0
003fd8a5-aa2f-4fc7-ac6e-7d17fbaf989c,83.41,Lüks Segment,Ara Sıra Kahve İçer,Sosyal İçici,Rutin Sever,Hayvan Sever,Erken Kalkan Çalışkan,7,6,9.0,7,7.0,100.0
00425a88-8185-458e-8fe5-2ad149610f29,18.05,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,0,0.0,15.0
0044ec5b-5c22-4522-b8a7-40d7131ea409,77.9,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,3,1,2.0,0,0.0,62.0
0044fb79-cf2f-4c4d-9ece-ed142f2b9340,43.23,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,2,2,0.0,2,5.0,45.43
00466752-4f9c-4663-86bc-0b148e0c6834,60.65,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Tutkunu,Dengeli Yaşam,3,3,0.0,1,12.0,58.21
0046a679-372d-4f7f-a2ed-18618b24e3ed,51.8,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,2,1,0.0,0,1.0,28.0
004a6b1a-8880-4044-83bc-06e380263b0e,43.02,Orta Segment,Ara Sıra Kahve İçer,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,1,1,6.0,0,4.0,14.0
004ad16e-6c69-4992-846a-7e2bcb8cc811,64.2,Üst Orta Segment,Ara Sıra Kahve İçer,Bar Gitmez,Rutin Sever,Hayvan Sever,Erken Kalkan Çalışkan,1,1,6.0,0,10.0,7.0
004e5736-c650-4a22-9032-650210984459,97.11,Lüks Segment,Kahve Bağımlısı,Sosyal İçici,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,6,5,24.0,4,4.0,100.0
0050e5bd-683f-4dac-a8c4-4ed2e3861db8,22.72,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,0,0.0,17.0
0052e71b-cdfe-42a3-b0ec-87b2672b8cd0,10.52,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,0.0,1,1.0,23.0
0055c309-5fa1-4b0f-9df4-26440e6a3052,79.6,Üst Orta Segment,Ara Sıra Kahve İçer,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,2,2,9.0,1,5.0,40.06
0058c41a-2ae5-47b7-a12b-9f6d6d838ae8,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Tutkunu,Dengeli Yaşam,12,9,2.0,8,12.0,100.0
005a1274-86a5-4f94-8979-873eb3505d1c,9.62,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,3.0,1,0.0,13.0
005a2d8e-6e67-4372-9b0e-9128ce95a154,12.78,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,1.0,1,0.0,23.0
0060daa7-b65b-6f15-aacb-5456a3387ad5,100.0,Lüks Segment,Kahve İçmez,Bar Düşkünü,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,274,14,0.0,274,1.0,100.0
0065d5c1-1be8-48a0-a5a6-38ab09d3c29a,72.84,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,2,2,0.0,2,2.0,30.12
00718816-fa93-4aba-ac8e-c6d9d5b30a98,27.3,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,0,0.0,25.0
0078975a-a632-6648-1556-710ea09660db,25.56,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,2,2,0.0,1,0.0,42.39
0078dc11-a21a-4604-b9dd-352d28ab59e5,62.72,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,2,2,4.0,1,4.0,42.2
007c0c49-52b7-47b3-9e9e-e38fa31e0579,15.33,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sever,Dengeli Yaşam,1,1,0.0,1,8.0,13.0
007ced6a-43a9-43d5-842e-4623b812545c,32.5,Alt Orta Segment,Kahve Bağımlısı,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,25.0,1,0.0,23.0
007dab15-d025-4ddb-81b5-425e178ff52b,6.2,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,1,0.0,13.0
007db17d-0f6e-4f44-8d5b-63d78e185580,15.5,Ekonomik Segment,Kahve Sever,Bar Gitmez,Rutin Sever,Hayvan Tutkunu,Dengeli Yaşam,1,1,17.0,1,12.0,13.0
007f5324-326f-46bc-b5ea-96dce0ae1dca,50.3,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,3,3,1.0,1,5.0,60.21
007f5327-df54-4a63-9949-16de9ba1ae76,9.0,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,0.0,1,0.0,13.0
007fb023-0c31-4a47-8a55-4839f4985936,94.92,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,3,3,1.0,3,0.0,50.14
0082f7f7-1233-4545-ad27-d90f3241fa8b,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,7,5,0.0,7,0.0,100.0
008305c5-07ee-4c6f-ad49-896031a465a0,21.75,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,1.0,1,0.0,30.0
00887128-4cbe-415c-ac0a-8748bdcaa5d4,24.88,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,4.0,0,0.0,15.0
008c9778-6a11-4b5b-82aa-348876c16116,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,3,2,2.0,3,5.0,58.25
0091ec63-f413-4469-9b03-b7e36f55c140,21.34,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,2,2,0.0,2,1.0,36.06
009236c1-df07-6412-1ebf-4f57162371a1,25.08,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,0.0,1,1.0,13.0
0092665a-f927-42a8-a9bf-06fe1b71a78d,39.57,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,1.0,0,1.0,25.0
00955c42-4efa-4078-bfca-ab1fc8527a26,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,9,8,0.0,8,0.0,100.0
0096d869-6c2d-4f27-bb95-64f43736a6c1,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sever,Dengeli Yaşam,3,1,0.0,3,7.0,57.5
00993691-a57f-495c-971e-c83fcd283256,100.0,Lüks Segment,Ara Sıra Kahve İçer,Bar Düşkünü,Rutin Sever,Hayvan Tutkunu,Erken Kalkan Çalışkan,61,21,6.0,52,198.0,100.0
0099fb42-355f-6259-117a-65c59e9079df,48.67,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,2,2,0.0,2,1.0,48.05
00a1118f-f5d0-6a41-2a0a-77b90d3bfe6a,20.9,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,2,2,0.0,1,0.0,35.07
00a31962-c033-48f0-9a92-61b64300acd0,45.92,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,0,0.0,18.5
00a5af95-44c7-462f-9822-b41ad6e5a554,100.0,Lüks Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,6,3,0.0,2,0.0,100.0
00a6a4e5-1cdd-4ac1-a902-aaa2a5a98fab,41.8,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,2.0,1,1.0,23.0
00a98e26-bbf9-4e42-974a-62965b2036fc,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,7,4,0.0,3,0.0,91.09
00a9ea63-b131-4bc8-9405-753244daa4a2,14.2,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,1,1,2.0,0,4.0,18.5
00ab3a31-5f33-6623-1593-d6ad1571f315,100.0,Lüks Segment,Ara Sıra Kahve İçer,Sosyal İçici,Rutin Sever,Pet Sahibi,Dengeli Yaşam,5,5,7.0,3,2.0,81.8
00ae5db1-2e66-4eca-970d-b8aadba5dc7c,63.06,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,2,2,0.0,1,0.0,35.03
00b28b23-db64-433c-9d50-6c1be61ab961,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Tutkunu,Erken Kalkan Çalışkan,4,4,0.0,3,146.0,69.46
00b8800e-44ca-4156-aa48-36568e6b05ae,20.0,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,1.0,0,0.0,15.0
00b93813-0581-4064-ba37-6de9ba8bb54a,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,7,7,2.0,5,0.0,91.24
00bc1b07-949b-4752-b3ce-fad29e40b8c0,29.93,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Tutkunu,Erken Kalkan Çalışkan,2,2,1.0,1,2261.0,37.14
00bcab01-3f0c-4054-9198-961651a35076,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Pet Sahibi,Dengeli Yaşam,17,14,0.0,7,3.0,100.0
00c4960f-bfac-4626-b0d3-1c163f848120,19.23,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,2,1,0.0,1,0.0,28.02
00c5c3e9-9a21-4f78-8631-519888d2b141,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,5,2,0.0,5,0.0,90.53
00c63b95-17cd-4d96-82dd-144babd3d925,28.17,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sever,Erken Kalkan Çalışkan,2,2,3.0,2,8.0,42.56
00c7777d-a796-4b57-8717-734011f9743e,100.0,Lüks Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Seyahat Sever,5,1,0.0,0,0.0,62.0
00c8a454-6ed4-485e-8152-9548e2d08c0c,15.05,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sever,Dengeli Yaşam,2,1,0.0,2,6.0,24.0
00caa4e0-a027-4287-b84c-5389408f3319,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Pet Sahibi,Dengeli Yaşam,11,8,2.0,7,2.0,100.0
00d41a91-0ce3-4de3-be4e-3002dc4efdd1,6.9,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,1,1.0,14.5
00dc6895-7970-4d70-8da7-b7d5a956fe0e,6.7,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,1,1,0.0,1,2.0,13.0
00dfc7ca-e6e3-4fa7-9757-c80475abd458,16.55,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,1,1,2.0,1,5.0,23.0
00e459a7-d19e-45ef-9ddd-0b76316fc944,52.38,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,3,3,0.0,2,3.0,42.31
00e51457-089b-4092-9a9d-a79cd53f287c,39.3,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Tutkunu,Dengeli Yaşam,1,1,0.0,0,15.0,17.0
00ed853d-71a2-447f-a9dc-383cc6a332e8,19.68,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,1,1,0.0,0,2.0,14.0
00edd0d7-5f42-41c8-9dbc-15e6edab48ce,31.22,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,1.0,0,1.0,15.0
00f35aa8-878d-4f2d-9a2a-1c0ca5e2f74f,8.78,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,1,1,0.0,0,2.0,18.5
00fa1a1f-9c0d-4376-a404-6084babce6ad,24.02,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,1,1,0.0,1,2.0,13.0
0100265e-0049-4f20-ba51-9bac3aa6be9a,100.0,Lüks Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,13,1,0.0,0,0.0,100.0
0100a000-f544-486c-a9f4-09726abd36bd,100.0,Lüks Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,8,2,1.0,0,0.0,100.0
0104d1e0-1f6d-4d0e-8612-84643b8f092f,8.83,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,1,1,0.0,1,3.0,20.0
0106fa01-13c3-4977-90be-02657e67a661,16.3,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,2,2,0.0,2,0.0,30.01
01078b9e-4050-4690-a2bb-a57e60af1bb4,86.82,Lüks Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,3,3,0.0,1,4.0,66.93
010c2a5c-ff8b-4d3b-aa7c-31bcc6a2e068,45.77,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Tutkunu,Dengeli Yaşam,3,3,0.0,2,15.0,34.49
010f0e7f-b163-4ed0-a12e-b121c321e0e8,28.3,Alt Orta Segment,Ara Sıra Kahve İçer,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,5.0,1,0.0,13.0
010fd787-c378-6e8f-a4b0-937dd1121082,71.78,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,3,2,0.0,2,4.0,51.02
0112c383-a749-481b-83aa-fca94bc53a29,97.3,Lüks Segment,Kahve Sever,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,2,2,14.0,1,4.0,42.37
01158e13-1fb3-48a2-abd9-30de7f8cefb0,100.0,Lüks Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sever,Dengeli Yaşam,2,2,1.0,0,8.0,34.62
0117b4e5-eb6f-4672-9ef5-9da751db0b76,10.28,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,1,1.0,13.0
011a104c-a326-443b-b79e-db4e3458efb8,69.68,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,1.0,1,1.0,13.0
011de04d-2084-4b08-b9f9-f92734910042,22.98,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sever,Dengeli Yaşam,1,1,0.0,0,6.0,15.0
01219396-246e-4153-8912-20aab51b5415,7.02,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Erken Kalkan Çalışkan,1,1,0.0,0,3.0,15.0
0124a034-d609-4c6a-ab8e-7495f9fef7a8,38.1,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,2,2,0.0,1,1.0,46.43
0127e811-8d2b-4cec-9fda-fcc1db496c41,12.95,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Tutkunu,Dengeli Yaşam,1,1,0.0,1,26.0,15.0
012b4044-1507-45cb-873b-2477c55a4d19,89.94,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Pet Sahibi,Dengeli Yaşam,3,3,3.0,3,2.0,67.47
012c142e-e92f-476f-8ced-31bbefd1d905,39.27,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,0.0,0,1.0,32.0
012c614d-dd87-4243-a19b-159c94021f53,46.77,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,0.0,1,0.0,20.0
0134985b-19b8-4371-bbbc-7b77c59288c3,11.25,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,1,1.0,16.5
0134d4a9-86d8-4931-aeb7-cc1ff01f1da9,44.15,Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,2,2,0.0,2,1.0,45.71
01380410-6629-49a1-a0f0-1e38da367128,21.8,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,1,1.0,13.0
013a566a-0c6e-4cfd-b69d-50814acdeb48,66.45,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,1,0.0,23.0
013ee1e6-2b34-4969-8ced-ad34e9264606,86.52,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,6,6,0.0,5,0.0,88.27
013fd337-ba71-4de2-997b-db09dbda945c,100.0,Lüks Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,13,1,0.0,0,0.0,100.0
0143c2cb-f125-4c58-ad75-938490969529,100.0,Lüks Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Tutkunu,Erken Kalkan Çalışkan,4,4,1.0,2,14.0,73.58
0146dfdf-377c-46d8-b527-3cc4053c2752,100.0,Lüks Segment,Kahve İçmez,Bar Düşkünü,Rutin Sever,Pet Sahibi,Gurme,49,9,2.0,28,5.0,100.0
0148ce5e-161e-455e-a923-ac1a62162047,48.87,Orta Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Pet Sahibi,Dengeli Yaşam,4,4,2.0,3,4.0,51.07
0149c765-54c5-4dc9-81a2-98b4adc35227,63.52,Üst Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Pet Sahibi,Dengeli Yaşam,3,1,1.0,0,4.0,44.0
014a660a-238f-4aa3-a670-5c608b3aef5b,100.0,Lüks Segment,Ara Sıra Kahve İçer,Sosyal İçici,Rutin Sever,Hayvan Sever,Erken Kalkan Çalışkan,9,8,6.0,4,7.0,100.0
014a7dfd-f1d5-44c4-a3ce-40fb0b311140,21.92,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,1.0,0,1.0,25.0
0152785b-1beb-4128-b890-6eb15207ef7f,14.48,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,1,0.0,23.0
0155ce86-1998-40ad-a59f-f543fb5cc08a,12.15,Ekonomik Segment,Ara Sıra Kahve İçer,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,6.0,0,0.0,16.5
0158b6c9-4778-4528-a291-6a06806d30ca,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sever,Erken Kalkan Çalışkan,8,5,0.0,5,10.0,100.0
0160a8a7-f1db-4d08-aa5d-e80e3a41a3b2,100.0,Lüks Segment,Kahve İçmez,Sosyal İçici,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,8,2,0.0,6,0.0,96.01
01687f48-d672-40a5-8eaf-b83615955211,19.2,Ekonomik Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Erken Kalkan Çalışkan,1,1,1.0,1,0.0,23.0
01731fb2-dfbc-464f-81ee-6d83733fca07,20.33,Alt Orta Segment,Kahve İçmez,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,0.0,0,1.0,32.0
017cf29b-29fe-4398-a82a-d4a46713b4ec,11.25,Ekonomik Segment,Ara Sıra Kahve İçer,Bar Gitmez,Rutin Sever,Hayvan Sahibi Değil,Dengeli Yaşam,1,1,7.0,0,1.0,25.0
